case_id,audit_status,primary_and_registered_sources_rechecked,incident_row_rechecked,actor_rows_rechecked,actor_function_coding_added,registered_source_ids,substantive_changes,audit_date,audit_note
SEIAI-0019,corrected,yes,yes,yes,yes,SRC-SEIAI-0019-01,SEIAI-0019-A01 identity_resolution: unknown -> partially_identified,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0020,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0020-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0021,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0021-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0022,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0022-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0023,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0023-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0024,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0024-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0025,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0025-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0026,corrected,yes,yes,yes,yes,SRC-SEIAI-0026-01,platform_primary: '' -> 'Relationship / phone / ATM card',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0027,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0027-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0028,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0028-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0029,corrected,yes,yes,yes,yes,SRC-SEIAI-0029-01,SRC-SEIAI-0029-01 source_type: 'other' -> 'court_judgment',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0030,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0030-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0031,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0031-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0032,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0032-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0033,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0033-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0034,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0034-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0035,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0035-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0036,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0036-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0037,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0037-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0038,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0038-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0039,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0039-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0040,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0040-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0041,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0041-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0042,corrected,yes,yes,yes,yes,SRC-SEIAI-0042-01,SRC-SEIAI-0042-01 source_type: 'other' -> 'court_judgment',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0043,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0043-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0044,corrected,yes,yes,yes,yes,SRC-SEIAI-0044-01,SRC-SEIAI-0044-01 source_type: 'other' -> 'court_judgment',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0045,corrected,yes,yes,yes,yes,SRC-SEIAI-0045-01,SRC-SEIAI-0045-01 source_type: 'other' -> 'court_judgment',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0046,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0046-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0047,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0047-01;SRC-SEIAI-0047-02,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0048,corrected,yes,yes,yes,yes,SRC-SEIAI-0048-01,SEIAI-0048-A01 identity_resolution: partially_identified -> unknown,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0049,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0049-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0050,verified_no_substantive_correction,yes,yes,yes,yes,SRC-SEIAI-0050-01,none,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0051,corrected,yes,yes,yes,yes,SRC-SEIAI-0051-01,case_number: '' -> 'WP(C) No.28823/2017'; attack_category_secondary: '' -> 'account_takeover_social_engineering'; platform_primary: '' -> 'SIM / internet banking'; impersonated_identity_detail: '' -> 'Registered mobile subscriber identity used to obtain a duplicate SIM'; target_sector: '' -> 'small business / retail banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0052,corrected,yes,yes,yes,yes,SRC-SEIAI-0052-01,case_number: '' -> 'WP No.11990/2023'; attack_category_secondary: '' -> 'account_takeover_social_engineering'; platform_primary: '' -> 'BSNL SIM / HDFC internet banking'; impersonated_identity_detail: '' -> 'Registered BSNL subscriber identity used in repeated SIM-replacement requests'; target_sector: '' -> 'retail banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0053,corrected,yes,yes,yes,yes,SRC-SEIAI-0053-01,case_number: '' -> 'WP No.3185/2022'; attack_category_secondary: '' -> 'identity_theft_deception'; platform_primary: '' -> 'Mobile service / internet banking'; impersonated_identity_detail: '' -> 'Registered mobile subscriber / lost-handset identity used to bar service'; target_sector: '' -> 'retail banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0054,corrected,yes,yes,yes,yes,SRC-SEIAI-0054-01,case_number: '' -> 'WP No.16104/2025 c/w WP No.4674/2025'; attack_category_secondary: '' -> 'account_takeover_social_engineering'; platform_primary: '' -> 'BSNL SIM / Canara Bank internet banking'; impersonated_identity_detail: '' -> 'Co-operative bank registered mobile subscriber identity used to obtain a duplicate SIM'; target_sector: '' -> 'co-operative banking / business banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0055,corrected,yes,yes,yes,yes,SRC-SEIAI-0055-01,incident_start_date: '2013-04-04' -> '2013-04-02'; case_number: '' -> 'Cyber Appeal No.18/2018'; attack_category_secondary: '' -> 'account_takeover_social_engineering'; platform_primary: '' -> 'Airtel SIM / Bank of Baroda internet banking'; impersonated_identity_detail: '' -> 'Corporate subscriber identity used with forged documents to obtain a duplicate SIM'; target_sector: '' -> 'corporate banking / manufacturing',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0056,corrected,yes,yes,yes,yes,SRC-SEIAI-0056-01,case_number: '' -> 'Revision Petition No.573/2019'; attack_category_secondary: '' -> 'account_takeover_social_engineering'; platform_primary: '' -> 'SIM / Paytm / Airtel Money / Snapdeal / M-Paisa'; impersonated_identity_detail: '' -> 'Registered mobile subscriber identity used to obtain a duplicate SIM'; target_sector: '' -> 'defence personnel / personal banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0057,corrected,yes,yes,yes,yes,SRC-SEIAI-0057-01,incident_end_date: '2017-06-01' -> '2017-05-29'; case_number: '' -> 'Cyber Appeal No.8/2021'; attack_category_secondary: '' -> 'account_takeover_social_engineering'; platform_primary: '' -> 'Vodafone SIM / IDBI internet banking'; impersonated_identity_detail: '' -> 'Business subscriber identity used with forged documents to obtain a replacement SIM'; target_sector: '' -> 'infrastructure business / business banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0058,corrected,yes,yes,yes,yes,SRC-SEIAI-0058-01,incident_end_date: '2011-08-25' -> '2011-08-23'; case_number: '' -> 'Cyber Appeal No.4/2013'; attack_category_secondary: '' -> 'account_takeover_social_engineering'; platform_primary: '' -> 'Email / corporate internet banking'; impersonated_identity_detail: '' -> 'Banking/security communication used to obtain or exploit corporate banking credentials'; target_sector: '' -> 'auto components / corporate banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0059,corrected,yes,yes,yes,yes,SRC-SEIAI-0059-01,case_number: '' -> 'First Appeal No.116/2025'; attack_category_secondary: '' -> 'phishing'; platform_primary: '' -> 'Google search / Phone / UPI'; impersonated_identity_detail: '' -> 'Prestige customer-care/support representative'; target_sector: '' -> 'household / personal finance',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0060,retired_duplicate,yes,yes,yes_before_retirement,not_applicable_retired,SRC-SEIAI-0060-01,active record retired as exact duplicate of SEIAI-0029,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0061,corrected,yes,yes,yes,yes,SRC-SEIAI-0061-01,case_number: '' -> 'M.Cr.C. No.46412/2023'; attack_category_secondary: '' -> 'bank_impersonation'; platform_primary: '' -> 'Phone / phishing link / credit card'; impersonated_identity_detail: '' -> 'RBL Bank credit-card reward-points service'; target_sector: '' -> 'retail banking / credit card',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0062,corrected,yes,yes,yes,yes,SRC-SEIAI-0062-01,incident_start_date: '2016-01-01' -> ''; incident_end_date: '2017-12-31' -> ''; case_number: '' -> 'CBI/261/2019; FIR No.221/2019/E0004'; attack_category_secondary: '' -> 'government_impersonation'; platform_primary: '' -> 'Phone / WhatsApp / email / forged documents'; impersonated_identity_detail: '' -> 'CBI officer and purported NCRB recruitment official'; target_sector: '' -> 'employment / recruitment',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0063,corrected,yes,yes,yes,yes,SRC-SEIAI-0063-01,case_number: '' -> 'BAIL APPLN. 903/2024; FIR No.0079/2024'; attack_category_secondary: '' -> 'phishing'; platform_primary: '' -> 'Shine.com / shinecomplaint.in / Paytm / PhonePe'; impersonated_identity_detail: '' -> 'Shine.com employee / recruiter / job-support representative'; target_sector: '' -> 'employment / online recruitment'; SRC-SEIAI-0063-01 case_number: '' -> 'BAIL APPLN. 903/2024; FIR No.0079/2024',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0064,corrected,yes,yes,yes,yes,SRC-SEIAI-0064-01,case_number: '' -> 'C.C. No.979/2024'; attack_category_secondary: '' -> 'phishing'; platform_primary: '' -> 'Email / UPI'; impersonated_identity_detail: '' -> 'boAt / Imagine Marketing warranty-support representative'; target_sector: '' -> 'retail consumer / warranty support',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0065,corrected,yes,yes,yes,yes,SRC-SEIAI-0065-01,incident_start_date: '2024-01-01' -> ''; incident_end_date: '2024-12-05' -> ''; incident_year: '2024' -> '2023'; case_number: '' -> 'CS(COMM) 92/2024'; attack_category_secondary: '' -> 'investment_fraud'; platform_primary: '' -> 'WhatsApp / Telegram / Facebook / Instagram'; impersonated_identity_detail: '' -> 'Akshay Tanna / claimed KKR-associated investment adviser'; target_sector: '' -> 'retail investment'; SEIAI-0065-A01 identity_resolution: partially_identified -> unknown,2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0066,corrected,yes,yes,yes,yes,SRC-SEIAI-0066-01;SRC-SEIAI-0066-02,incident_start_date: '2024-04-01' -> ''; incident_end_date: '2025-12-19' -> ''; case_number: '' -> 'CS(COMM) 475/2024'; attack_category_secondary: '' -> 'social_media_impersonation'; platform_primary: '' -> 'WhatsApp / fraudulent investment website'; impersonated_identity_detail: '' -> 'ChrysCapital employees and senior personnel'; target_sector: '' -> 'retail investment',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0067,corrected,yes,yes,yes,yes,SRC-SEIAI-0067-01,incident_start_date: '2024-08-01' -> ''; incident_end_date: '2025-05-26' -> ''; case_number: '' -> 'CS(COMM) 514/2025'; attack_category_secondary: '' -> 'investment_fraud'; platform_primary: '' -> 'Facebook / Instagram / WhatsApp'; impersonated_identity_detail: '' -> 'Ankur Warikoo as purported investment adviser'; target_sector: '' -> 'retail investment',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0068,corrected,yes,yes,yes,yes,SRC-SEIAI-0068-01,incident_start_date: '2025-01-01' -> ''; incident_end_date: '2025-07-11' -> ''; case_number: '' -> 'CRM-M-8466-2026; FIR No.293/2025'; attack_category_secondary: '' -> 'government_impersonation'; platform_primary: '' -> 'In person / WhatsApp / Google Pay'; impersonated_identity_detail: '' -> 'Purported government-connected recruitment facilitator'; target_sector: '' -> 'employment / government recruitment',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0069,corrected,yes,yes,yes,yes,SRC-SEIAI-0069-01,case_number: '' -> 'First Appeal No.SC/4/FA/239/2025'; attack_category_secondary: '' -> 'bank_impersonation'; platform_primary: '' -> 'SMS / HDFC credit card'; impersonated_identity_detail: '' -> 'HDFC Bank credit-card reward-points service'; target_sector: '' -> 'retail banking / credit card',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0070,corrected,yes,yes,yes,yes,SRC-SEIAI-0070-01,case_number: '' -> 'Appeal No.292/2025'; attack_category_secondary: '' -> 'bank_impersonation'; platform_primary: '' -> 'Fake eKYC website / SBI internet banking'; impersonated_identity_detail: '' -> 'SBI eKYC / internet-banking verification service'; target_sector: '' -> 'business banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0071,corrected,yes,yes,yes,yes,SRC-SEIAI-0071-01,"incident_start_date: '2016-01-01' -> ''; incident_end_date: '2017-12-31' -> ''; incident_year: '2017' -> 'not_reported'; case_number: '' -> 'BAIL APPLN. 2071/2025'; attack_category_secondary: '' -> 'job_fraud'; platform_primary: '' -> 'WhatsApp'; impersonated_identity_detail: '' -> '“Shaurya” persona claiming government-job, tender and investment access'; target_sector: '' -> 'employment / retail investment'; SEIAI-0071-A01 identity_resolution: unknown -> partially_identified",2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0072,corrected,yes,yes,yes,yes,SRC-SEIAI-0072-01,incident_end_date: '2024-07-25' -> '2024-07-24'; case_number: '' -> 'WP(Crl.) No.1376/2024; Crime No.83/2024'; attack_category_secondary: '' -> 'police_impersonation'; platform_primary: '' -> 'Phone / bank transfers'; impersonated_identity_detail: '' -> 'FedEx representative and Mumbai Cyber Crime Inspector'; target_sector: '' -> 'household / personal finance',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0073,corrected,yes,yes,yes,yes,SRC-SEIAI-0073-01,incident_start_date: '2025-10-22' -> ''; incident_end_date: '2025-10-22' -> ''; case_number: '' -> 'CRM-M-26249-2026; FIR No.160/2025'; platform_primary: '' -> 'WhatsApp'; impersonated_identity_detail: '' -> 'Complainant’s relative “Pankaj” said to be living abroad'; target_sector: '' -> 'household / family network',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0074,corrected,yes,yes,yes,yes,SRC-SEIAI-0074-01,case_number: '' -> 'First Appeal No.133/2024'; attack_category_secondary: '' -> 'bank_impersonation'; platform_primary: '' -> 'SMS / SBI banking'; impersonated_identity_detail: '' -> 'SBI KYC verification service'; target_sector: '' -> 'senior citizen / retail banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
SEIAI-0075,corrected,yes,yes,yes,yes,SRC-SEIAI-0075-01,incident_end_date: '2016-05-28' -> '2016-05-27'; case_number: '' -> 'First Appeal No.1986/2017'; attack_category_secondary: '' -> 'bank_impersonation'; platform_primary: '' -> 'Phone / ATM card'; impersonated_identity_detail: '' -> 'Bank main-branch official / Aadhaar-linking representative'; target_sector: '' -> 'retail banking',2026-09-04,"Full v0.2.0 source-to-code consistency re-audit. Allegations, endpoint associations, human identity resolution and procedural findings assessed separately."
