actor_id,case_id,record_status,coding_version,coder,date_coded,actor_label,identity_resolution,role_layer,victim_facing_function,financial_function,function_assignment_basis,role_primary,role_secondary,conduct_assessed,direct_victim_contact,attribution_basis_primary,attribution_basis_secondary,attribution_strength,attribution_limitations,alternative_explanation,source_ids,relationship_note
SEIAI-0008-A01,SEIAI-0008,reviewed,0.2.0,Hamzah,2026-09-04,SMS/call social-engineering operator,unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,Sending/using the service-closure message and call to induce the victim to click the suspicious link.,yes,witness_or_statement,documentary_record,unclear,The operator identity is not established in the banking-liability litigation.,,SRC-SEIAI-0008-01;SRC-SEIAI-0008-02,Victim-facing conduct is clearer than human identity.
SEIAI-0008-A02,SEIAI-0008,reviewed,0.2.0,Hamzah,2026-09-04,Credential/transaction compromise operator,unknown,technical,no,no,no paper-specific evidence assigning either primary function,technical_infrastructure_operator,platform_account_operator,Obtaining or using valid banking authentication after the victim clicked the suspicious link.,unknown,ip_or_login_record,bank_account_or_money_flow,unclear,The exact compromise mechanism and operator identity were not forensically established.,The victim asserted malware/compromise without OTP sharing; the bank argued the link click enabled credential misuse.,SRC-SEIAI-0008-01;SRC-SEIAI-0008-02,"Could overlap with the SMS/call operator, but this is unresolved."
SEIAI-0008-A03,SEIAI-0008,reviewed,0.2.0,Hamzah,2026-09-04,Transaction beneficiary actor(s),actor_cluster,financial,no,yes,Atlas financial layer,bank_account_controller,intermediary,"Receiving the two unauthorised internet-banking transfers totalling INR 260,000.",no,bank_account_or_money_flow,documentary_record,limited,Beneficiary information does not identify the social-engineering operator or establish account-controller knowledge/intent.,A beneficiary account can be an intermediary or mule layer rather than the originator of deception.,SRC-SEIAI-0008-01;SRC-SEIAI-0008-02,Financial layer separated from the unresolved technical compromise.
SEIAI-0009-A01,SEIAI-0009,reviewed,0.2.0,Hamzah,2026-09-04,Payment-account and mobile-linked actor,identified,financial,no,yes,Atlas financial layer,bank_account_controller,intermediary,Alleged control/use of payment accounts and a mobile number linked to fraud proceeds and related complaints.,no,bank_account_or_money_flow,cdr_or_telecom_record,moderate,This evidence supports a financial/mobile association but does not establish technical takeover of the superior WhatsApp account.,The actor claimed a friend had taken his account details for receiving funds from abroad.,SRC-SEIAI-0009-01,"Potentially the same human alleged to have performed the takeover, but that conduct is assessed separately."
SEIAI-0009-A02,SEIAI-0009,reviewed,0.2.0,Hamzah,2026-09-04,WhatsApp takeover and impersonation operator,partially_identified,hybrid,yes,no,paper functional override: victim-facing conduct,platform_account_operator,social_engineering_operator,Taking over the reporting officer WhatsApp account and issuing payment requests through the trusted superior identity.,yes,bank_account_or_money_flow,cdr_or_telecom_record,limited,No detailed platform/device/session evidence directly proves the takeover mechanism or ties the critical WhatsApp session to the alleged operator.,The financial/mobile-linked actor could be a downstream recipient or facilitator rather than the takeover operator.,SRC-SEIAI-0009-01,"The source alleges overlap with A01, but the roles remain separate because the evidentiary basis differs."
SEIAI-0010-A01,SEIAI-0010,reviewed,0.2.0,Hamzah,2026-09-04,Initial sexual-video caller,unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,Initiating the sexual video interaction and attempting to induce compromising conduct.,yes,witness_or_statement,message_or_email_content,unclear,No direct device/account/platform attribution identifies the human operator.,,SRC-SEIAI-0010-01,"Could overlap with the later extortion persona, but the source does not establish this."
SEIAI-0010-A02,SEIAI-0010,reviewed,0.2.0,Hamzah,2026-09-04,“Rahul” extortion persona/operator,unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,"Sending the recorded video, claiming a cyber offence, threatening FIR/publication and demanding escalating payments.",yes,witness_or_statement,message_or_email_content,unclear,“Rahul” is a reported persona; the human operator behind it is not identified.,,SRC-SEIAI-0010-01,Persona label is not treated as a verified identity.
SEIAI-0010-A03,SEIAI-0010,reviewed,0.2.0,Hamzah,2026-09-04,Bail applicant linked to extortion network,identified,financial,no,yes,Atlas financial layer,intermediary,money_mule,Alleged participation in the extortion network through co-accused linkage and sharing/receipt of proceeds.,no,co_accused_link,bank_account_or_money_flow,limited,"The public material does not directly connect this actor to the initial video call, Rahul persona or extortion communications.",The actor argued that he was implicated only through a co-accused disclosure statement.,SRC-SEIAI-0010-01,Financial/network association only.
SEIAI-0010-A04,SEIAI-0010,reviewed,0.2.0,Hamzah,2026-09-04,Beneficiary-account holder/controller cluster,actor_cluster,financial,no,yes,Atlas financial layer,bank_account_controller,money_mule,Receiving the victim multiple transfers across several accounts.,no,bank_account_or_money_flow,documentary_record,limited,"Receipt of funds does not establish who conducted the sexual lure or extortion communications, nor the knowledge of every account-linked person.",Some accounts may have functioned as mule/intermediary accounts.,SRC-SEIAI-0010-01,May overlap with A03 or other downstream actors.
SEIAI-0011-A01,SEIAI-0011,reviewed,0.2.0,Hamzah,2026-09-04,Layered surveillance/CBI/judge impersonation operator(s),actor_cluster,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,"Conducting the surveillance-officer, CBI-officer and fake-judge interactions, presenting a purported Supreme Court order, isolating the complainant and directing transfers.",yes,witness_or_statement,message_or_email_content,unclear,"The victim-facing conduct is reconstructed in detail, but the reviewed public material does not identify the human operators behind the impersonating accounts.",,SRC-SEIAI-0011-01,The several personas may have been operated by one or more humans; the Atlas does not infer identity equivalence.
SEIAI-0011-A02,SEIAI-0011,reviewed,0.2.0,Hamzah,2026-09-04,First-layer beneficiary-account and telecom-linked actor,identified,financial,no,yes,Atlas financial layer,bank_account_controller,sim_or_device_user,Alleged control/use of a first-layer beneficiary account and associated telecom/device activity through which part of the complainant’s funds moved.,no,bank_account_or_money_flow,cdr_or_telecom_record,moderate,"Bank, subscriber, location and CDR evidence materially supports the downstream role, but does not establish that this actor conducted the original impersonation.","The actor claimed his email was hacked and cited suspicious Singapore logins, leaving account-control explanations disputed at bail stage.",SRC-SEIAI-0011-01,Financial/telecom role is deliberately separated from the victim-facing impersonation layer.
SEIAI-0012-A01,SEIAI-0012,reviewed,0.2.0,Hamzah,2026-09-04,FedEx and Mumbai Cyber Crime impersonation operator(s),actor_cluster,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,"Impersonating FedEx and law-enforcement personnel, maintaining the victim’s digital confinement and coercing two transfers.",yes,witness_or_statement,message_or_email_content,unclear,The source reconstructs the victim-facing scheme but does not identify the human operators behind the FedEx/police identities.,,SRC-SEIAI-0012-01,Victim-facing layer remains separate from the alleged financial arm.
SEIAI-0012-A02,SEIAI-0012,reviewed,0.2.0,Hamzah,2026-09-04,Financial-arm account/device actor,identified,hybrid,no,yes,paper functional override: financial conduct,bank_account_controller,sim_or_device_user,"Allegedly operating or facilitating financial accounts used by the network, with a recovered SIM/device and WhatsApp material concerning account use and cash conversion.",no,multiple_independent_sources,device_possession_or_forensics,moderate,The source materially links this actor to the financial arm but does not show that he performed the original FedEx or police impersonation.,The actor disputed the evidentiary weight of co-accused disclosure and relied on procedural/custody arguments.,SRC-SEIAI-0012-01,The hybrid label captures financial control plus device/SIM evidence without converting that association into caller attribution.
SEIAI-0013-A01,SEIAI-0013,reviewed,0.2.0,Hamzah,2026-09-04,Stan Chart Dialogue Forum L7 group operator(s),unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,platform_account_operator,"Operating the WhatsApp investment group, presenting investment opportunities and directing the complainant into progressively larger transfers.",yes,witness_or_statement,message_or_email_content,unclear,The notice-stage order provides the complainant narrative but does not identify who controlled the group or its administrator identities.,,SRC-SEIAI-0013-01,"Could overlap with the SCHNW application operator, but the source does not establish this."
SEIAI-0013-A02,SEIAI-0013,reviewed,0.2.0,Hamzah,2026-09-04,SCHNW application operator(s),unknown,technical,no,no,no paper-specific evidence assigning either primary function,technical_infrastructure_operator,platform_account_operator,Operating or controlling the SCHNW investment interface through which the complainant was shown investment activity and withdrawal restrictions.,unknown,documentary_record,unclear,not_assessed,"The reviewed order names the application but provides no developed device, hosting, provider or account-control evidence for its operator.",,SRC-SEIAI-0013-01,Technical application-control attribution cannot yet be assessed.
SEIAI-0013-A03,SEIAI-0013,reviewed,0.2.0,Hamzah,2026-09-04,Bail applicant with undeveloped alleged role,identified,unknown,no,no,no paper-specific evidence assigning either primary function,unknown_role,,Alleged participation in the scheme underlying the anticipatory-bail proceeding.,unknown,unclear,,unclear,The interim notice-stage source does not provide enough applicant-specific evidence to assign a stable operational role.,Applicant-specific control of the group/application is not established in the reviewed material.,SRC-SEIAI-0013-01,Retained as an unknown-role record rather than forcing the applicant into an unsupported victim-facing or financial role.
SEIAI-0014-A01,SEIAI-0014,reviewed,0.2.0,Hamzah,2026-09-04,Airtel/Mumbai Police/CBI impersonation operator(s),actor_cluster,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,"Conducting the initial telecom impersonation and subsequent police/CBI video-call deception, arrest/terror-funding threats and transfer directions.",yes,witness_or_statement,message_or_email_content,unclear,The original caller/video identities are not directly tied to identified human operators in the reviewed public material.,,SRC-SEIAI-0014-01,The victim-facing layer is kept separate from downstream beneficiary-account infrastructure.
SEIAI-0014-A02,SEIAI-0014,reviewed,0.2.0,Hamzah,2026-09-04,Beneficiary-company account controller actor(s),actor_cluster,financial,no,yes,Atlas financial layer,bank_account_controller,intermediary,Allegedly controlling or enabling beneficiary-company accounts used to receive and move portions of the victim’s funds.,no,bank_account_or_money_flow,documentary_record,moderate,Company/account records and transaction evidence support a downstream role but do not establish authorship of the digital-arrest communications or equal knowledge across all account-linked persons.,"Some applicants disputed whether they were victims, peripheral account holders or active participants.",SRC-SEIAI-0014-01,Clustered because the order describes several account-linked actors with different asserted degrees of control.
SEIAI-0014-A03,SEIAI-0014,reviewed,0.2.0,Hamzah,2026-09-04,Account/SIM procurement and coordination actor(s),actor_cluster,financial,no,yes,Atlas financial layer,account_provider,coordinator,"Allegedly procuring, passing or coordinating beneficiary-account details, SIM-linked access and communications used to route funds.",no,multiple_independent_sources,message_or_email_content,moderate,"WhatsApp/account/SIM evidence supports financial-infrastructure coordination, but not original-caller identity or a uniform role for every participant.",Role scope and knowledge remained disputed matters for investigation/trial.,SRC-SEIAI-0014-01,Separated from account ownership because procurement/coordination is different conduct from nominal or beneficial account control.
SEIAI-0015-A01,SEIAI-0015,reviewed,0.2.0,Hamzah,2026-09-04,Fake RBI caller,unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,Initiating the fraud as an RBI official and presenting the fraudulent-credit-card narrative that moved the complainant into the digital-arrest sequence.,yes,witness_or_statement,,unclear,The source reconstructs the call but does not identify the human operator.,,SRC-SEIAI-0015-01,"May be part of the same operational group as later police/ED impersonators, but this is not inferred."
SEIAI-0015-A02,SEIAI-0015,reviewed,0.2.0,Hamzah,2026-09-04,Mumbai Police/ED video-call impersonation operator(s),actor_cluster,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,"Maintaining roughly 11 hours 37 minutes of video surveillance, presenting official-looking material, threatening the complainant/family and directing transfers while posing as police/ED personnel.",yes,witness_or_statement,message_or_email_content,unclear,The impersonating WhatsApp/video identities are not directly attributed through provider or device evidence.,,SRC-SEIAI-0015-01,Distinct victim-facing stage after the initial RBI approach.
SEIAI-0015-A03,SEIAI-0015,reviewed,0.2.0,Hamzah,2026-09-04,Beneficiary-account manipulation/facilitation actor,identified,financial,no,yes,Atlas financial layer,account_provider,intermediary,Allegedly facilitating or manipulating beneficiary-account records/credentials so accounts could be used to receive or route the complainant’s funds.,no,bank_account_or_money_flow,witness_or_statement,moderate,"The financial/account-facilitation evidence does not show that this actor performed the RBI, police or ED impersonation.","A nominal account holder alleged that a bank relationship manager used the account without his knowledge and forged signatures, showing that nominal ownership may differ from operational control.",SRC-SEIAI-0015-01,"Conduct is coded as account facilitation, not victim-facing deception."
SEIAI-0016-A01,SEIAI-0016,reviewed,0.2.0,Hamzah,2026-09-04,BlackRock-branded group/social-ad operator(s),unknown,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,platform_account_operator,"Using a BlackRock-branded social-media/WhatsApp investment-learning workflow, social proof and repeated contact to induce investment.",yes,witness_or_statement,message_or_email_content,unclear,The source reconstructs the group interaction but does not identify the human group/ad operators.,,SRC-SEIAI-0016-01,Victim-facing group operation is distinct from downstream receipt of funds.
SEIAI-0016-A02,SEIAI-0016,reviewed,0.2.0,Hamzah,2026-09-04,Purported Angel One institutional-account operator(s),unknown,technical,no,no,no paper-specific evidence assigning either primary function,platform_account_operator,technical_infrastructure_operator,"Operating or controlling the purported institutional investment-account workflow used to collect identity information, display investments and condition withdrawal on a commission.",unknown,documentary_record,unclear,not_assessed,"No provider, hosting, device or account-control evidence is described that identifies the operator of the purported institutional-account system.",,SRC-SEIAI-0016-01,May overlap with the WhatsApp group operators but no such identity equivalence is assumed.
SEIAI-0016-A03,SEIAI-0016,reviewed,0.2.0,Hamzah,2026-09-04,Applicant-linked proprietorship account actor,identified,financial,no,yes,Atlas financial layer,bank_account_controller,intermediary,Alleged control/use of a proprietorship account that received INR 4.2 million from the focal cheated amount and routed funds onward.,no,bank_account_or_money_flow,documentary_record,moderate,The direct money-flow link supports a downstream financial role but does not establish victim-facing inducement or control of the BlackRock/Angel One identities.,The actor claimed he was himself duped and that no WhatsApp chat connected him to the scheme.,SRC-SEIAI-0016-01,This is the narrow conduct for which the incident-level moderate attribution is supportable.
SEIAI-0017-A01,SEIAI-0017,reviewed,0.2.0,Hamzah,2026-09-04,TRAI/police/fake-CBI-Court impersonation operator(s),actor_cluster,victim_facing,yes,no,Atlas victim_facing layer,social_engineering_operator,victim_facing_operator,"Conducting the TRAI-to-police/CBI escalation, showing a fraudulent court order, imposing digital arrest and directing the transfer.",yes,witness_or_statement,message_or_email_content,unclear,The victim-facing personas are reconstructed but are not tied to identified human operators through provider/device evidence.,,SRC-SEIAI-0017-01,Several personas may represent one or multiple operators; the Atlas keeps them as an unresolved cluster.
